Farm_ID,Current_Crop,Farm_Area(acres),Irrigation_Type,Soil_Type,Season,Previous_Crop_1,Previous_Crop_2,Previous_Crop_3,Rotation_Health_Score,Fertilizer_Used(tons),Pesticide_Used(kg),Water_Usage(cubic meters),Yield(tons),Organic_Matter_Content(%),Soil_pH,Chemical_Free_Days,Sustainability_Score,Fertilizer_Category,Pesticide_Category,Current_Fertilizer,Current_Pesticide,Sustainable_Recommendations
F0891,Barley,51.83,Manual,Peaty,Zaid,Soybean,Maize,Barley,62.5,1.22,0.4,11254.28,10.77,2.57,5.86,103,89.64,Chemical,Organic,Urea,Herbal Pesticides,"{'fertilizer': 'Bio-fertilizer', 'transition_time': '6 months', 'expected_benefit': 'Improved soil health'}"
F0892,Carrot,340.56,Rain-fed,Silty,Rabi,Soybean,Maize,Carrot,62.5,7.7,3.64,34079.91,148.05,1.54,7.04,213,35.15,Chemical,Chemical,MOP,Chemical Fungicides,"{'fertilizer': 'Vermicompost', 'transition_time': '3 months', 'expected_benefit': 'Better water retention'}"
F0893,Rice,243.62,Drip,Clay,Rabi,Wheat,Wheat,Rice,35.0,6.24,1.52,41110.83,63.19,4.06,6.73,218,53.43,Chemical,Chemical,NPK,Chemical Fungicides,"{'fertilizer': 'Bio-fertilizer', 'transition_time': '3 months', 'expected_benefit': 'Better water retention'}"
F0894,Barley,139.04,Sprinkler,Peaty,Zaid,Barley,Barley,Potato,35.0,3.71,1.01,32330.22,24.54,2.79,6.89,304,68.91,Mixed,Chemical,DAP + Vermicompost,Synthetic Insecticides,"{'fertilizer': 'DAP + Vermicompost', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0895,Soybean,258.9,Flood,Loamy,Kharif,Rice,Maize,Wheat,80.0,7.82,1.61,92899.58,38.61,1.14,5.75,246,37.35,Mixed,Chemical,DAP + Vermicompost,Synthetic Insecticides,"{'fertilizer': 'DAP + Vermicompost', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0896,Barley,101.89,Drip,Peaty,Zaid,Soybean,Barley,Soybean,55.0,1.42,1.18,14131.9,16.61,2.06,6.33,287,81.4,Chemical,Chemical,MOP,Chemical Herbicides,"{'fertilizer': 'Bio-fertilizer', 'transition_time': '3 months', 'expected_benefit': 'Enhanced soil microbiome'}"
F0897,Carrot,228.28,Drip,Peaty,Zaid,Maize,Carrot,Wheat,52.5,5.49,0.98,35552.7,61.57,3.5,5.51,288,62.38,Chemical,Organic,NPK,Biological Control,"{'fertilizer': 'Green Manure', 'transition_time': '6 months', 'expected_benefit': 'Enhanced soil microbiome'}"
F0898,Rice,356.38,Flood,Clay,Rabi,Wheat,Wheat,Rice,35.0,5.88,4.73,106583.49,115.88,3.14,5.94,56,18.82,Chemical,Organic,MOP,Herbal Pesticides,"{'fertilizer': 'Vermicompost', 'transition_time': '6 months', 'expected_benefit': 'Improved soil health'}"
F0899,Barley,365.89,Sprinkler,Loamy,Zaid,Maize,Soybean,Soybean,72.5,7.29,3.5,66056.61,63.14,2.69,6.58,309,27.86,Mixed,Organic,DAP + Vermicompost,Herbal Pesticides,"{'fertilizer': 'DAP + Vermicompost', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0900,Barley,281.23,Manual,Peaty,Kharif,Potato,Barley,Maize,52.5,4.26,1.14,75861.44,48.12,2.65,7.21,49,54.03,Mixed,Mixed,DAP + Vermicompost,Integrated Pest Management,"{'fertilizer': 'DAP + Vermicompost', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0901,Tomato,394.69,Drip,Sandy,Kharif,Tomato,Soybean,Maize,62.5,10.0,3.53,65263.04,223.77,2.88,6.09,165,21.7,Organic,Chemical,Vermicompost,Synthetic Insecticides,"{'fertilizer': 'Vermicompost', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0902,Cotton,292.02,Drip,Sandy,Rabi,Cotton,Cotton,Wheat,35.0,2.65,4.38,50435.06,33.18,1.66,6.72,180,40.73,Organic,Mixed,Vermicompost,Integrated Pest Management,"{'fertilizer': 'Vermicompost', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0903,Maize,291.2,Rain-fed,Sandy,Rabi,Maize,Maize,Maize,17.5,6.3,3.4,31214.5,103.87,1.42,7.23,283,41.03,Chemical,Chemical,DAP,Chemical Herbicides,"{'fertilizer': 'Bio-fertilizer', 'transition_time': '3 months', 'expected_benefit': 'Improved soil health'}"
F0904,Barley,240.75,Drip,Sandy,Rabi,Soybean,Potato,Maize,80.0,5.12,3.18,41755.33,34.58,1.1,6.84,221,42.29,Chemical,Organic,MOP,Herbal Pesticides,"{'fertilizer': 'Green Manure', 'transition_time': '6 months', 'expected_benefit': 'Better water retention'}"
F0905,Sugarcane,133.14,Drip,Loamy,Zaid,Sugarcane,Soybean,Wheat,62.5,1.71,1.9,17950.04,67.56,4.62,6.46,340,72.9,Organic,Mixed,Vermicompost,Integrated Pest Management,"{'fertilizer': 'Vermicompost', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0906,Cotton,459.87,Drip,Clay,Kharif,Maize,Wheat,Cotton,52.5,8.98,4.63,72961.9,63.17,1.91,6.85,46,17.43,Mixed,Chemical,Urea + Compost,Synthetic Insecticides,"{'fertilizer': 'Urea + Compost', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0907,Maize,271.78,Rain-fed,Sandy,Rabi,Wheat,Maize,Maize,35.0,5.99,2.44,23174.03,72.13,3.56,5.71,94,52.04,Chemical,Chemical,MOP,Chemical Herbicides,"{'fertilizer': 'Vermicompost', 'transition_time': '6 months', 'expected_benefit': 'Enhanced soil microbiome'}"
F0908,Tomato,458.56,Drip,Peaty,Zaid,Soybean,Maize,Maize,62.5,9.93,5.0,55305.48,209.56,2.37,7.28,92,16.68,Chemical,Organic,MOP,Neem Extract,"{'fertilizer': 'Bio-fertilizer', 'transition_time': '6 months', 'expected_benefit': 'Improved soil health'}"
F0909,Tomato,498.68,Flood,Peaty,Kharif,Maize,Soybean,Tomato,62.5,10.0,3.57,142332.93,277.39,3.21,6.76,128,12.43,Chemical,Chemical,NPK,Synthetic Insecticides,"{'fertilizer': 'Bio-fertilizer', 'transition_time': '6 months', 'expected_benefit': 'Better water retention'}"
F0910,Tomato,244.62,Rain-fed,Loamy,Rabi,Maize,Maize,Soybean,62.5,7.24,3.28,26342.16,120.82,3.3,7.07,317,41.32,Chemical,Chemical,NPK,Synthetic Insecticides,"{'fertilizer': 'Green Manure', 'transition_time': '3 months', 'expected_benefit': 'Better water retention'}"
F0911,Carrot,434.17,Drip,Silty,Kharif,Wheat,Maize,Carrot,52.5,5.75,2.94,71278.2,132.83,3.38,5.87,84,34.58,Mixed,Chemical,DAP + Vermicompost,Chemical Herbicides,"{'fertilizer': 'DAP + Vermicompost', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0912,Rice,292.97,Sprinkler,Silty,Kharif,Rice,Legumes,Legumes,55.0,8.23,3.5,62930.78,97.87,4.06,6.57,175,26.59,Chemical,Mixed,NPK,Integrated Pest Management,"{'fertilizer': 'Compost', 'transition_time': '3 months', 'expected_benefit': 'Better water retention'}"
F0913,Rice,404.1,Flood,Silty,Zaid,Legumes,Rice,Legumes,55.0,6.5,3.56,120552.09,134.74,2.67,6.28,337,21.54,Organic,Chemical,Bio-fertilizer,Chemical Fungicides,"{'fertilizer': 'Bio-fertilizer', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0914,Wheat,123.12,Flood,Sandy,Kharif,Rice,Wheat,Soybean,62.5,4.12,1.27,43753.35,27.29,1.86,6.94,163,61.34,Chemical,Chemical,MOP,Synthetic Insecticides,"{'fertilizer': 'Green Manure', 'transition_time': '3 months', 'expected_benefit': 'Enhanced soil microbiome'}"
F0915,Sugarcane,430.82,Sprinkler,Clay,Rabi,Soybean,Potato,Soybean,72.5,6.41,5.0,101131.66,207.44,3.5,7.49,246,14.97,Mixed,Chemical,NPK + Bio-fertilizer,Chemical Herbicides,"{'fertilizer': 'NPK + Bio-fertilizer', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0916,Sugarcane,307.89,Manual,Sandy,Rabi,Potato,Sugarcane,Sugarcane,35.0,3.23,3.27,86074.54,97.4,3.46,6.76,284,37.48,Chemical,Organic,Urea,Herbal Pesticides,"{'fertilizer': 'Green Manure', 'transition_time': '6 months', 'expected_benefit': 'Better water retention'}"
F0917,Potato,124.69,Flood,Loamy,Rabi,Maize,Maize,Maize,35.0,0.94,1.78,38473.49,25.21,3.63,5.9,327,69.18,Organic,Organic,Compost,Neem Extract,"{'fertilizer': 'Compost', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0918,Wheat,474.02,Drip,Peaty,Rabi,Soybean,Soybean,Soybean,65.0,7.61,3.72,71662.04,89.46,4.39,6.37,360,24.59,Mixed,Chemical,DAP + Vermicompost,Chemical Herbicides,"{'fertilizer': 'DAP + Vermicompost', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0919,Soybean,314.93,Flood,Silty,Rabi,Wheat,Wheat,Rice,62.5,8.95,2.27,84301.9,51.14,4.99,7.04,231,30.2,Mixed,Chemical,DAP + Vermicompost,Chemical Herbicides,"{'fertilizer': 'DAP + Vermicompost', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0920,Potato,367.79,Flood,Peaty,Rabi,Potato,Soybean,Potato,45.0,8.99,4.99,110914.84,113.26,3.67,7.28,112,10.49,Chemical,Chemical,Urea,Synthetic Insecticides,"{'fertilizer': 'Vermicompost', 'transition_time': '6 months', 'expected_benefit': 'Enhanced soil microbiome'}"
F0921,Wheat,18.05,Manual,Clay,Zaid,Wheat,Wheat,Soybean,45.0,0.5,0.75,4716.38,3.84,4.89,6.25,112,92.3,Chemical,Organic,MOP,Neem Extract,"{'fertilizer': 'Vermicompost', 'transition_time': '6 months', 'expected_benefit': 'Better water retention'}"
F0922,Soybean,376.42,Flood,Peaty,Zaid,Wheat,Rice,Maize,80.0,10.0,4.23,132077.25,70.95,1.21,5.79,77,9.15,Chemical,Mixed,DAP,Integrated Pest Management,"{'fertilizer': 'Green Manure', 'transition_time': '3 months', 'expected_benefit': 'Better water retention'}"
F0923,Wheat,480.35,Sprinkler,Silty,Rabi,Rice,Potato,Potato,52.5,5.6,3.14,83942.21,135.54,3.99,7.15,56,30.72,Mixed,Chemical,Urea + Compost,Synthetic Insecticides,"{'fertilizer': 'Urea + Compost', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0924,Wheat,494.98,Manual,Sandy,Zaid,Wheat,Rice,Wheat,35.0,10.0,5.0,116271.04,126.6,1.26,7.39,139,5.3,Chemical,Chemical,MOP,Chemical Herbicides,"{'fertilizer': 'Bio-fertilizer', 'transition_time': '6 months', 'expected_benefit': 'Enhanced soil microbiome'}"
F0925,Rice,209.33,Sprinkler,Clay,Rabi,Wheat,Legumes,Legumes,72.5,5.37,2.81,47182.21,50.61,4.03,5.9,232,42.36,Mixed,Chemical,DAP + Vermicompost,Synthetic Insecticides,"{'fertilizer': 'DAP + Vermicompost', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0926,Barley,346.91,Manual,Sandy,Rabi,Soybean,Soybean,Potato,72.5,7.43,4.03,69932.96,78.1,3.45,7.08,291,23.66,Organic,Chemical,Bio-fertilizer,Chemical Fungicides,"{'fertilizer': 'Bio-fertilizer', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0927,Cotton,260.55,Manual,Clay,Zaid,Wheat,Wheat,Cotton,35.0,4.68,2.17,52531.41,50.36,3.86,7.27,128,48.75,Mixed,Chemical,NPK + Bio-fertilizer,Chemical Herbicides,"{'fertilizer': 'NPK + Bio-fertilizer', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0928,Carrot,284.42,Manual,Loamy,Zaid,Soybean,Soybean,Wheat,72.5,5.28,2.05,79255.21,114.2,3.56,6.95,348,42.01,Chemical,Chemical,NPK,Chemical Fungicides,"{'fertilizer': 'Compost', 'transition_time': '3 months', 'expected_benefit': 'Better water retention'}"
F0929,Rice,68.73,Sprinkler,Loamy,Kharif,Rice,Maize,Legumes,62.5,0.5,1.24,16302.38,20.67,2.58,6.6,326,83.68,Organic,Mixed,Green Manure,Limited Chemical + Neem,"{'fertilizer': 'Green Manure', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0930,Tomato,393.75,Rain-fed,Peaty,Zaid,Wheat,Soybean,Soybean,72.5,8.35,3.87,34080.61,181.11,4.84,6.29,77,32.49,Organic,Chemical,Bio-fertilizer,Chemical Fungicides,"{'fertilizer': 'Bio-fertilizer', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0931,Cotton,106.67,Rain-fed,Sandy,Kharif,Cotton,Soybean,Cotton,45.0,2.09,1.71,10964.34,13.37,4.37,7.3,256,75.78,Chemical,Chemical,MOP,Synthetic Insecticides,"{'fertilizer': 'Compost', 'transition_time': '3 months', 'expected_benefit': 'Better water retention'}"
F0932,Cotton,486.67,Flood,Silty,Zaid,Cotton,Wheat,Maize,52.5,10.0,5.0,126322.81,88.46,4.07,7.15,253,4.52,Chemical,Chemical,NPK,Chemical Fungicides,"{'fertilizer': 'Green Manure', 'transition_time': '6 months', 'expected_benefit': 'Enhanced soil microbiome'}"
F0933,Carrot,374.08,Rain-fed,Clay,Kharif,Wheat,Carrot,Wheat,35.0,9.17,4.21,37828.91,91.89,4.1,6.95,334,28.04,Organic,Mixed,Compost,Limited Chemical + Neem,"{'fertilizer': 'Compost', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0934,Sugarcane,231.03,Drip,Loamy,Rabi,Soybean,Soybean,Wheat,72.5,6.0,3.65,34552.39,79.15,1.81,5.54,204,39.07,Mixed,Chemical,Urea + Compost,Synthetic Insecticides,"{'fertilizer': 'Urea + Compost', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0935,Maize,188.2,Rain-fed,Clay,Rabi,Maize,Maize,Maize,17.5,4.94,1.27,18836.76,68.55,1.01,6.45,302,67.39,Chemical,Chemical,Urea,Synthetic Insecticides,"{'fertilizer': 'Green Manure', 'transition_time': '6 months', 'expected_benefit': 'Improved soil health'}"
F0936,Sugarcane,429.67,Drip,Peaty,Rabi,Soybean,Soybean,Soybean,65.0,6.13,4.05,68336.26,212.59,1.5,6.16,192,27.07,Chemical,Chemical,Urea,Chemical Herbicides,"{'fertilizer': 'Compost', 'transition_time': '3 months', 'expected_benefit': 'Enhanced soil microbiome'}"
F0937,Tomato,168.86,Rain-fed,Loamy,Rabi,Maize,Wheat,Tomato,52.5,3.6,1.42,16797.73,69.89,1.25,6.29,72,70.99,Mixed,Chemical,Urea + Compost,Chemical Herbicides,"{'fertilizer': 'Urea + Compost', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0938,Potato,311.3,Flood,Sandy,Zaid,Soybean,Potato,Maize,62.5,8.56,3.39,100349.45,59.11,1.41,6.68,125,20.13,Mixed,Chemical,Urea + Compost,Chemical Fungicides,"{'fertilizer': 'Urea + Compost', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0939,Tomato,451.8,Flood,Silty,Rabi,Maize,Wheat,Maize,52.5,7.74,4.42,122847.48,217.29,2.3,6.26,315,14.06,Chemical,Mixed,MOP,Integrated Pest Management,"{'fertilizer': 'Green Manure', 'transition_time': '3 months', 'expected_benefit': 'Enhanced soil microbiome'}"
F0940,Barley,225.23,Flood,Peaty,Zaid,Barley,Maize,Soybean,62.5,5.81,3.08,73829.8,58.5,1.1,7.19,257,32.87,Chemical,Mixed,NPK,Integrated Pest Management,"{'fertilizer': 'Green Manure', 'transition_time': '6 months', 'expected_benefit': 'Improved soil health'}"
F0941,Carrot,436.91,Sprinkler,Sandy,Kharif,Wheat,Wheat,Maize,52.5,10.0,5.0,75679.32,177.81,2.96,6.33,220,10.58,Organic,Chemical,Green Manure,Chemical Fungicides,"{'fertilizer': 'Green Manure', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0942,Potato,309.68,Drip,Loamy,Zaid,Potato,Soybean,Potato,45.0,4.35,4.19,45371.51,61.69,2.97,6.55,127,37.61,Organic,Chemical,Compost,Chemical Herbicides,"{'fertilizer': 'Compost', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0943,Carrot,445.32,Flood,Loamy,Kharif,Maize,Carrot,Carrot,35.0,9.61,5.0,107082.25,154.72,1.19,6.3,171,8.13,Chemical,Organic,NPK,Biological Control,"{'fertilizer': 'Bio-fertilizer', 'transition_time': '6 months', 'expected_benefit': 'Enhanced soil microbiome'}"
F0944,Sugarcane,27.22,Flood,Loamy,Zaid,Sugarcane,Soybean,Wheat,62.5,1.4,0.19,8968.56,10.57,4.29,6.17,43,91.53,Organic,Chemical,Bio-fertilizer,Chemical Fungicides,"{'fertilizer': 'Bio-fertilizer', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0945,Sugarcane,133.31,Drip,Silty,Rabi,Potato,Wheat,Soybean,80.0,2.54,2.08,23953.99,37.61,3.73,6.45,59,66.26,Chemical,Mixed,DAP,Integrated Pest Management,"{'fertilizer': 'Bio-fertilizer', 'transition_time': '3 months', 'expected_benefit': 'Enhanced soil microbiome'}"
F0946,Wheat,11.28,Drip,Clay,Kharif,Wheat,Soybean,Wheat,45.0,0.5,0.29,1892.8,2.07,4.91,6.92,52,97.04,Organic,Chemical,Compost,Chemical Herbicides,"{'fertilizer': 'Compost', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0947,Soybean,344.59,Drip,Silty,Zaid,Soybean,Soybean,Soybean,57.5,9.4,1.63,52288.39,70.39,2.68,6.54,358,42.5,Chemical,Chemical,Urea,Chemical Herbicides,"{'fertilizer': 'Compost', 'transition_time': '6 months', 'expected_benefit': 'Improved soil health'}"
F0948,Rice,440.89,Flood,Silty,Kharif,Legumes,Rice,Legumes,55.0,7.55,4.48,155204.08,152.59,1.67,5.55,88,13.0,Chemical,Chemical,MOP,Chemical Herbicides,"{'fertilizer': 'Green Manure', 'transition_time': '3 months', 'expected_benefit': 'Improved soil health'}"
F0949,Cotton,368.47,Flood,Sandy,Rabi,Soybean,Soybean,Cotton,55.0,9.69,2.23,100727.44,59.58,1.36,7.36,258,27.53,Chemical,Organic,MOP,Herbal Pesticides,"{'fertilizer': 'Compost', 'transition_time': '3 months', 'expected_benefit': 'Improved soil health'}"
F0950,Soybean,84.44,Sprinkler,Peaty,Kharif,Rice,Soybean,Maize,72.5,2.63,0.73,19897.63,11.89,3.93,7.15,20,79.16,Chemical,Mixed,Urea,Limited Chemical + Neem,"{'fertilizer': 'Bio-fertilizer', 'transition_time': '6 months', 'expected_benefit': 'Enhanced soil microbiome'}"
F0951,Rice,221.04,Sprinkler,Peaty,Zaid,Rice,Maize,Legumes,62.5,5.24,1.46,48093.23,65.42,3.13,7.41,101,54.55,Chemical,Mixed,MOP,Limited Chemical + Neem,"{'fertilizer': 'Compost', 'transition_time': '3 months', 'expected_benefit': 'Enhanced soil microbiome'}"
F0952,Maize,486.63,Drip,Silty,Rabi,Maize,Soybean,Maize,45.0,10.0,5.0,65466.69,188.58,1.89,5.99,169,12.87,Chemical,Chemical,DAP,Synthetic Insecticides,"{'fertilizer': 'Vermicompost', 'transition_time': '6 months', 'expected_benefit': 'Improved soil health'}"
F0953,Tomato,166.73,Manual,Silty,Kharif,Tomato,Soybean,Tomato,45.0,1.74,1.31,44943.13,56.45,4.29,6.07,355,68.56,Chemical,Chemical,NPK,Chemical Fungicides,"{'fertilizer': 'Compost', 'transition_time': '3 months', 'expected_benefit': 'Improved soil health'}"
F0954,Wheat,203.82,Sprinkler,Clay,Zaid,Soybean,Soybean,Potato,72.5,5.0,2.11,38442.0,61.92,1.27,6.99,328,52.73,Organic,Chemical,Compost,Chemical Herbicides,"{'fertilizer': 'Compost', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0955,Carrot,423.32,Rain-fed,Silty,Zaid,Maize,Carrot,Wheat,52.5,10.0,2.28,39647.44,186.98,2.73,6.14,272,38.19,Chemical,Chemical,MOP,Chemical Herbicides,"{'fertilizer': 'Compost', 'transition_time': '6 months', 'expected_benefit': 'Enhanced soil microbiome'}"
F0956,Carrot,170.41,Rain-fed,Silty,Kharif,Carrot,Carrot,Soybean,45.0,5.27,1.96,15971.12,43.07,2.5,7.41,236,61.24,Organic,Organic,Vermicompost,Herbal Pesticides,"{'fertilizer': 'Vermicompost', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0957,Sugarcane,348.95,Rain-fed,Clay,Rabi,Soybean,Soybean,Sugarcane,55.0,9.9,3.41,34305.57,132.58,4.93,6.48,8,32.86,Chemical,Mixed,NPK,Limited Chemical + Neem,"{'fertilizer': 'Vermicompost', 'transition_time': '3 months', 'expected_benefit': 'Better water retention'}"
F0958,Sugarcane,378.93,Flood,Silty,Rabi,Soybean,Soybean,Wheat,72.5,4.55,4.91,91765.28,121.48,3.4,5.57,235,23.98,Organic,Chemical,Bio-fertilizer,Chemical Fungicides,"{'fertilizer': 'Bio-fertilizer', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0959,Tomato,437.79,Rain-fed,Loamy,Zaid,Tomato,Soybean,Wheat,62.5,4.04,5.0,44544.05,156.02,1.37,7.39,188,33.76,Chemical,Mixed,Urea,Limited Chemical + Neem,"{'fertilizer': 'Bio-fertilizer', 'transition_time': '3 months', 'expected_benefit': 'Better water retention'}"
F0960,Potato,251.35,Flood,Clay,Zaid,Wheat,Potato,Potato,35.0,6.7,2.85,76513.89,81.61,1.9,7.11,120,31.47,Mixed,Chemical,Urea + Compost,Chemical Herbicides,"{'fertilizer': 'Urea + Compost', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0961,Wheat,13.92,Manual,Sandy,Zaid,Wheat,Wheat,Soybean,45.0,0.5,0.27,2947.4,4.41,2.11,5.84,363,96.87,Mixed,Chemical,DAP + Vermicompost,Chemical Fungicides,"{'fertilizer': 'DAP + Vermicompost', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0962,Rice,28.61,Drip,Silty,Kharif,Rice,Legumes,Wheat,62.5,0.5,0.53,3451.17,10.09,2.81,5.7,152,94.65,Chemical,Organic,DAP,Neem Extract,"{'fertilizer': 'Green Manure', 'transition_time': '3 months', 'expected_benefit': 'Better water retention'}"
F0963,Sugarcane,276.37,Sprinkler,Sandy,Kharif,Potato,Wheat,Sugarcane,52.5,5.99,3.4,64637.83,90.25,2.75,5.88,168,32.16,Chemical,Chemical,DAP,Synthetic Insecticides,"{'fertilizer': 'Vermicompost', 'transition_time': '3 months', 'expected_benefit': 'Better water retention'}"
F0964,Maize,160.36,Flood,Silty,Zaid,Potato,Maize,Soybean,62.5,3.48,1.56,55027.7,61.56,4.09,6.53,304,57.68,Chemical,Mixed,MOP,Integrated Pest Management,"{'fertilizer': 'Vermicompost', 'transition_time': '3 months', 'expected_benefit': 'Enhanced soil microbiome'}"
F0965,Potato,35.03,Rain-fed,Clay,Zaid,Maize,Wheat,Maize,52.5,1.52,0.28,3160.85,8.29,3.09,7.44,33,92.91,Organic,Chemical,Bio-fertilizer,Chemical Herbicides,"{'fertilizer': 'Bio-fertilizer', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0966,Wheat,340.55,Manual,Peaty,Zaid,Soybean,Wheat,Wheat,45.0,10.0,3.16,88442.18,80.98,3.69,6.27,38,19.58,Chemical,Chemical,Urea,Chemical Fungicides,"{'fertilizer': 'Vermicompost', 'transition_time': '3 months', 'expected_benefit': 'Improved soil health'}"
F0967,Soybean,312.87,Flood,Clay,Rabi,Wheat,Wheat,Soybean,55.0,8.03,3.01,88186.89,46.29,1.71,5.85,356,25.4,Mixed,Chemical,DAP + Vermicompost,Synthetic Insecticides,"{'fertilizer': 'DAP + Vermicompost', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0968,Wheat,324.04,Flood,Silty,Rabi,Soybean,Potato,Soybean,72.5,8.26,3.67,79034.52,70.64,1.13,6.68,213,21.84,Chemical,Chemical,NPK,Chemical Herbicides,"{'fertilizer': 'Compost', 'transition_time': '6 months', 'expected_benefit': 'Better water retention'}"
F0969,Soybean,365.9,Sprinkler,Peaty,Zaid,Soybean,Wheat,Maize,72.5,6.32,2.74,70950.98,53.92,1.71,7.09,237,34.57,Organic,Chemical,Green Manure,Synthetic Insecticides,"{'fertilizer': 'Green Manure', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0970,Potato,347.14,Manual,Peaty,Rabi,Potato,Maize,Potato,35.0,8.52,4.14,79301.75,81.15,1.36,5.77,0,18.76,Organic,Chemical,Green Manure,Chemical Herbicides,"{'fertilizer': 'Green Manure', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0971,Barley,175.41,Drip,Sandy,Zaid,Soybean,Barley,Maize,62.5,4.14,1.03,21354.47,36.04,3.17,6.44,174,71.21,Chemical,Chemical,MOP,Synthetic Insecticides,"{'fertilizer': 'Bio-fertilizer', 'transition_time': '3 months', 'expected_benefit': 'Enhanced soil microbiome'}"
F0972,Soybean,436.4,Flood,Loamy,Kharif,Soybean,Maize,Rice,72.5,6.27,5.0,111596.41,61.92,3.89,5.64,136,14.3,Chemical,Organic,NPK,Biological Control,"{'fertilizer': 'Green Manure', 'transition_time': '3 months', 'expected_benefit': 'Improved soil health'}"
F0973,Carrot,482.11,Drip,Loamy,Kharif,Maize,Carrot,Soybean,62.5,10.0,5.0,86313.63,129.63,2.2,7.37,176,8.64,Chemical,Chemical,DAP,Synthetic Insecticides,"{'fertilizer': 'Compost', 'transition_time': '3 months', 'expected_benefit': 'Enhanced soil microbiome'}"
F0974,Wheat,192.63,Flood,Peaty,Zaid,Soybean,Rice,Rice,62.5,4.08,2.46,56713.5,47.05,2.98,5.85,16,47.02,Chemical,Mixed,NPK,Limited Chemical + Neem,"{'fertilizer': 'Vermicompost', 'transition_time': '6 months', 'expected_benefit': 'Better water retention'}"
F0975,Potato,220.22,Sprinkler,Clay,Rabi,Soybean,Potato,Soybean,55.0,6.2,1.53,37125.92,53.99,1.5,7.33,358,54.73,Chemical,Chemical,NPK,Chemical Fungicides,"{'fertilizer': 'Green Manure', 'transition_time': '3 months', 'expected_benefit': 'Enhanced soil microbiome'}"
F0976,Potato,384.08,Sprinkler,Loamy,Zaid,Potato,Potato,Potato,17.5,6.39,3.75,91866.65,90.39,2.28,6.13,113,23.66,Chemical,Chemical,MOP,Synthetic Insecticides,"{'fertilizer': 'Green Manure', 'transition_time': '6 months', 'expected_benefit': 'Improved soil health'}"
F0977,Potato,67.79,Sprinkler,Loamy,Rabi,Maize,Soybean,Potato,62.5,1.53,0.71,13647.34,15.3,3.98,5.98,47,85.44,Mixed,Mixed,DAP + Vermicompost,Integrated Pest Management,"{'fertilizer': 'DAP + Vermicompost', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
